p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Chr,start,end,strand,gene_anno
1.7708839631567302e-16,0.54676373656309,0.554,0.431,4.105617380182563e-12,0,Caacu.v4.11G005970,Chr11,7980342,7981695,+,light-harvesting chlorophyll-protein complex II subunit B1
4.467412623313812e-16,0.6154545872383168,0.457,0.324,1.0357249425890741e-11,0,Caacu.v4.4G005070,Chr4,9016266,9017386,-,"photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)"
4.943172997144316e-16,0.5875685782188516,0.494,0.363,1.1460252276579381e-11,0,Caacu.v4.14G006720,Chr14,5013149,5014107,+,2Fe-2S ferredoxin-like superfamily protein
6.436992057691698e-16,0.6826283637111854,0.365,0.237,1.4923522386552434e-11,0,Caacu.v4.20G000470,Chr20,377122,380342,+,photosystem I subunit H2
1.4801054599174859e-15,0.773002014048461,0.342,0.223,3.4314764982726995e-11,0,Caacu.v4.2G004340,Chr2,3223502,3224729,-,photosystem II reaction center W
3.261358250610673e-15,0.5732291093311104,0.5,0.37,7.561132968215784e-11,0,Caacu.v4.3G006740,Chr3,5614151,5614827,+,photosystem II subunit X
1.9433637285658844e-14,0.5643439317513539,0.467,0.338,4.5054944683071465e-10,0,Caacu.v4.1G000800,Chr1,1683822,1686670,+,light harvesting complex of photosystem II
2.1686038055413396e-14,0.6390822224856998,0.379,0.254,5.027691062767042e-10,0,Caacu.v4.9G004210,Chr9,8401979,8404887,-,Chlorophyll A-B binding family protein
8.964829178029908e-14,0.540775393071947,0.569,0.456,2.0784059966344536e-9,0,Caacu.v4.10G013180,Chr10,16115559,16117508,-,photosystem I light harvesting complex gene
1.9673411513397348e-13,0.6605593244235433,0.408,0.29,4.561083725266041e-9,0,Caacu.v4.17G005960,Chr17,10577794,10579547,-,photosystem I subunit O
2.2446171366612864e-13,1.0390379727259396,0.192,0.104,5.203920369635527e-9,0,Caacu.v4.8G017990,Chr8,18499805,18509201,-,GRAS family transcription factor
2.5755146210942013e-13,0.5430333542076355,0.469,0.348,5.971073097544797e-9,0,Caacu.v4.14G005790,Chr14,4221461,4223264,-,light harvesting complex photosystem II subunit
2.648278076830781e-13,0.6422867266558341,0.386,0.274,6.139767893324482e-9,0,Caacu.v4.18G009270,Chr18,8113796,8116292,+,photosystem I light harvesting complex gene
3.8240904327001763e-13,0.7170970779198083,0.301,0.191,8.865771259172088e-9,0,Caacu.v4.3G012530,Chr3,10733572,10737304,-,"cytochrome P450, family 72, subfamily A, polypeptide"
4.1882456095391506e-13,0.7016929358222486,0.304,0.195,9.710028621155567e-9,0,Caacu.v4.11G005960,Chr11,7977694,7979096,-,light-harvesting chlorophyll-protein complex II subunit B1
4.2111997181115e-13,1.2183937390028827,0.133,0.061,9.763245426469702e-9,0,Caacu.v4.10G009770,Chr10,12910223,12911232,-,photosystem II family protein
4.294070020302431e-13,0.6325992809722916,0.146,0.088,9.955371935069156e-9,0,Caacu.v4.3G006860,Chr3,5752267,5753197,+,germin
4.4213294094340873e-13,0.47907487664984494,0.578,0.474,1.0250410102831988e-8,0,Caacu.v4.5G012180,Chr5,10478646,10480464,+,light-harvesting chlorophyll-protein complex II subunit B1
6.968811651742133e-13,0.5494638440941157,0.383,0.29,1.615649293339896e-8,0,Caacu.v4.17G004850,Chr17,9166936,9167925,-,Kunitz family trypsin and protease inhibitor protein
9.137829871138342e-13,0.6517087687851602,0.169,0.103,2.118514477324713e-8,0,Caacu.v4.3G006880,Chr3,5763941,5764894,+,germin
1.142704674372579e-12,0.4384574698335948,0.601,0.494,2.6492465170653868e-8,0,Caacu.v4.11G005950,Chr11,7966482,7972944,-,light-harvesting chlorophyll-protein complex II subunit B1
4.437412684660179e-12,0.6126998656189175,0.347,0.241,1.028769756811616e-7,0,Caacu.v4.19G010210,Chr19,12937987,12940169,+,photosystem I light harvesting complex gene
1.0890163105891312e-11,0.6085974845422726,0.335,0.233,2.524775414469842e-7,0,Caacu.v4.15G012410,Chr15,16124581,16127248,+,glyceraldehyde 3-phosphate dehydrogenase A subunit
1.3405526304861017e-11,0.7823797037904514,0.267,0.171,3.107937218518978e-7,0,Caacu.v4.7G013550,Chr7,18462132,18462694,+,photosystem II reaction center W
2.6726752340977216e-11,0.4962931900369836,0.478,0.368,6.196330262732158e-7,0,Caacu.v4.7G012370,Chr7,17480852,17481969,+,photosystem I subunit E-2
4.578166984655089e-11,0.8945423230953078,0.164,0.089,1.061402233722436e-6,0,Caacu.v4.20G001840,Chr20,1326874,1337504,+,Inorganic H pyrophosphatase family protein
6.289533223445606e-11,0.47673076008026927,0.508,0.399,1.4581653825236295e-6,0,Caacu.v4.5G013330,Chr5,12362837,12365960,+,photosystem I subunit K
9.605407744697422e-11,0.5765278319077387,0.314,0.213,2.2269177315306503e-6,0,Caacu.v4.4G018650,Chr4,20889444,20895759,-,carbonic anhydrase
9.744007749911158e-11,0.5329118374347148,0.371,0.268,2.2590507567394028e-6,0,Caacu.v4.2G007140,Chr2,5502559,5503778,-,photosystem I subunit l
1.1899173720072497e-10,1.6522395687378881,0.066,0.023,2.758704435261608e-6,0,Caacu.v4.12G008100,Chr12,13405508,13406452,-,conserved hypothetical protein
1.5164709132110727e-10,0.4497804043087785,0.443,0.338,3.5157861651885508e-6,0,Caacu.v4.5G012080,Chr5,10419828,10420985,+,light-harvesting chlorophyll-protein complex II subunit B1
2.2558371888046335e-10,0.572099348885625,0.362,0.269,5.229932938524662e-6,0,Caacu.v4.7G016230,Chr7,20549277,20549930,-,CP12 domain-containing protein
2.282817260083675e-10,0.6071875453571949,0.192,0.111,5.292483535777992e-6,0,Caacu.v4.1G019690,Chr1,25232692,25235040,+,Single hybrid motif superfamily protein
4.1228814233031856e-10,0.5360008887118175,0.299,0.204,9.558488291786105e-6,0,Caacu.v4.16G010300,Chr16,10329371,10333320,-,"dicarboxylate diiron protein, putative (Crd1)"
6.081057481537947e-10,0.7615769145574229,0.167,0.095,1.4098323665197575e-5,0,Caacu.v4.15G011110,Chr15,15082878,15088734,-,"cytochrome b6f complex subunit (petM), putative"
6.686961370989773e-10,1.0201280121566505,0.12,0.061,1.550305124250269e-5,0,Caacu.v4.4G001230,Chr4,2511655,2512145,-,Scorpion toxin-like knottin superfamily protein
6.924612429791664e-10,0.5199055217865909,0.34,0.242,1.6054021457228995e-5,0,Caacu.v4.5G005550,Chr5,4313460,4314338,-,Photosystem II 5 kD protein
7.011762203663908e-10,0.7489774541931926,0.144,0.078,1.6256069492974405e-5,0,Caacu.v4.2G006890,Chr2,5290203,5293444,+,stomagen
7.73827406604592e-10,0.3654899674254244,0.652,0.545,1.794041459472086e-5,0,Caacu.v4.2G010540,Chr2,11526180,11527345,+,lipid transfer protein
9.581665325886177e-10,0.7050264510381228,0.24,0.158,2.2214132891534512e-5,0,Caacu.v4.12G007680,Chr12,12869435,12871971,+,photosystem II subunit O-2
1.4101799908327557e-9,0.9799809154492407,0.107,0.052,3.269361290746661e-5,0,Caacu.v4.14G004730,Chr14,3296690,3300668,+,peroxisomal NAD-malate dehydrogenase
1.4122955575865757e-9,0.617869015971269,0.269,0.18,3.274266020708717e-5,0,Caacu.v4.9G012910,Chr9,16448241,16449707,-,Cupredoxin superfamily protein
3.479330465595142e-9,0.7825960795723602,0.143,0.079,8.066479751435777e-5,0,Caacu.v4.4G008220,Chr4,12420876,12428170,+,serine transhydroxymethyltransferase
5.226590173390404e-9,0.4675543757472136,0.352,0.255,1.2117326657988313e-4,0,Caacu.v4.16G010940,Chr16,10879439,10882298,-,light harvesting complex photosystem II
5.515217372882163e-9,0.8435353935738781,0.129,0.07,1.2786479957290007e-4,0,Caacu.v4.3G001690,Chr3,1497517,1498453,+,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein"
5.8673472369928756e-9,0.679069676082294,0.127,0.067,1.3602857834244282e-4,0,Caacu.v4.19G009140,Chr19,12152863,12160576,+,alanine-2-oxoglutarate aminotransferase
8.78603785484484e-9,0.4678879407325649,0.447,0.358,2.0369550162672277e-4,0,Caacu.v4.8G003050,Chr8,3898196,3901239,+,photosystem II subunit X
1.4321920571474121e-8,0.5034256814690337,0.246,0.163,3.3203940652905603e-4,0,Caacu.v4.10G015290,Chr10,17933967,17936572,-,protochlorophyllide oxidoreductase A
1.908402121882698e-8,0.5683438374818877,0.189,0.117,4.424439479372847e-4,0,Caacu.v4.7G009340,Chr7,14982410,14983911,-,Thylakoid soluble phosphoprotein TSP9 domain containing protein
2.0042729858771936e-8,0.43021894869113275,0.332,0.26,4.6467064904576855e-4,0,Caacu.v4.9G005680,Chr9,10096332,10098164,+,hypothetical protein
2.360093928428354e-8,0.5936356041333888,0.211,0.136,5.471641763668296e-4,0,Caacu.v4.8G011410,Chr8,13127818,13129457,+,light-harvesting chlorophyll-protein complex I subunit A4
2.4330361353409975e-8,0.5838934237107818,0.292,0.207,5.640750976174569e-4,0,Caacu.v4.11G009080,Chr11,11285084,11286775,-,light-harvesting chlorophyll B-binding protein
2.4626991495007858e-08,0.5418407304026469,0.291,0.209,5.709521708202621e-4,0,Caacu.v4.7G008740,Chr7,14528735,14532065,-,rubisco activase
2.608606635172983e-8,0.6152496541010939,0.217,0.142,6.047793622985044e-4,0,Caacu.v4.6G020660,Chr6,20192979,20197299,-,CAAD domains of cyanobacterial aminoacyl-tRNA synthetase domain containing protein
2.9335021326099427e-8,0.5838385689667052,0.102,0.076,6.801031344242891e-4,0,Caacu.v4.9G005690,Chr9,10100708,10102198,+,hypothetical protein
2.9798336178693073e-8,1.6935334505694857,0.043,0.014,6.908446259668202e-4,0,Caacu.v4.9G004110,Chr9,8321322,8325846,-,GDSL-like Lipase/Acylhydrolase superfamily protein
3.584308277876919e-8,0.78444198401337,0.117,0.062,8.309860311429849e-4,0,Caacu.v4.9G014790,Chr9,17681868,17685823,-,glyceraldehyde-3-phosphate dehydrogenase B subunit
4.529419964907533e-8,0.796885245365656,0.13,0.073,0.0010501007246641624,0,Caacu.v4.12G009270,Chr12,14669803,14674856,+,ferredoxin-NADP(+)-oxidoreductase
4.94939088791339e-8,1.8365409552253897,0.032,0.008,0.0011474667834538402,0,Caacu.v4.18G005610,Chr18,4639338,4641081,-,Transcription factor bHLH61
6.167921748117459e-8,0.8158593852790119,0.117,0.063,0.0014299709780835517,0,Caacu.v4.1G038720,Chr1,40200165,40200650,+,conserved hypothetical protein
6.751644825758884e-8,0.7761839904820509,0.159,0.097,0.0015653013364039397,0,Caacu.v4.8G010720,Chr8,12371625,12379879,+,PLC-like phosphodiesterases superfamily protein
8.077337509368698e-8,0.5369906526413586,0.27,0.192,0.001872649928172039,0,Caacu.v4.7G012240,Chr7,17366420,17366752,+,hypothetical protein
8.298587564176094e-8,0.5533157852152888,0.23,0.154,0.0019239445408785855,0,Caacu.v4.2G026240,Chr2,30770203,30771260,+,photosystem I subunit D-1
9.282244457327942e-8,0.9840862158432352,0.076,0.035,0.00215199555498691,0,Caacu.v4.2G025630,Chr2,30251453,30254617,-,glutamine synthetase
1.0001991349480068e-7,1.3928631090383135,0.045,0.016,0.0023188616744634592,0,Caacu.v4.1G020510,Chr1,26062901,26063869,-,oleosin
1.0196171149400871e-7,0.5328539494693518,0.158,0.095,0.002363880319277098,0,Caacu.v4.8G014980,Chr8,16182501,16185087,+,acyl carrier protein
1.1920771111615339e-7,0.6458853288815984,0.14,0.082,0.0027637115745169,0,Caacu.v4.8G000030,Chr8,32137,37470,-,Ribosomal L18p/L5e family protein
1.6556909422581008e-7,0.5671516852682652,0.174,0.109,0.0038385538805311807,0,Caacu.v4.18G013180,Chr18,13278797,13280118,-,photosystem I subunit l
1.9449635880084845e-7,0.6249455088815021,0.163,0.102,0.00450920358243887,0,Caacu.v4.11G010830,Chr11,12582064,12586984,+,Glycine cleavage T-protein family
2.16777918922758e-7,0.6953681249626051,0.155,0.095,0.005025779272305221,0,Caacu.v4.2G017130,Chr2,23175754,23181921,-,2-cysteine peroxiredoxin B
2.2718436855278933e-7,0.5230855839239026,0.351,0.273,0.005267042400527868,0,Caacu.v4.17G004770,Chr17,9069416,9070305,-,Kunitz family trypsin and protease inhibitor protein
2.4992606977045926e-7,0.9932177762289252,0.089,0.045,0.005794286001558327,0,Caacu.v4.14G008310,Chr14,6706521,6712455,-,chloroplast RNA binding
2.581740495740376e-7,1.045596872589486,0.064,0.028,0.005985507165324487,0,Caacu.v4.1G019620,Chr1,25180092,25182266,+,conserved hypothetical protein
3.469637179444254e-7,0.7240939921772257,0.144,0.087,0.008044006836823558,0,Caacu.v4.4G012580,Chr4,16091447,16094550,+,ferredoxin-NADP(+)-oxidoreductase
3.615361952675775e-7,1.3599946975014436,0.042,0.015,0.008381855151083516,0,Caacu.v4.8G016690,Chr8,17499048,17500045,-,conserved hypothetical protein
3.9297480583932507e-7,0.42965898233079614,0.313,0.231,0.009110727898578912,0,Caacu.v4.4G010790,Chr4,14682562,14689278,+,photosystem II subunit O-2
5.880312256035058e-7,0.6563721232087868,0.13,0.077,0.013632915934391678,0,Caacu.v4.21G000890,Chr21,865747,869646,-,hydroxypyruvate reductase
5.941517409378439e-7,0.5060160082659455,0.327,0.251,0.013774813961902973,0,Caacu.v4.10G006550,Chr10,7878377,7880103,+,protodermal factor
7.257086017890519e-7,0.7224527122652615,0.235,0.168,0.01682482822387738,0,Caacu.v4.17G008270,Chr17,12829087,12830027,+,conserved hypothetical protein
7.694282833199816e-7,0.9251864845115519,0.074,0.036,0.017838425320490455,0,Caacu.v4.20G004070,Chr20,3037523,3042315,+,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
8.322228190628611e-7,0.6053884091297519,0.199,0.135,0.01929425383715337,0,Caacu.v4.6G021650,Chr6,20978280,20982001,+,photosystem I P subunit
8.625372050495629e-7,1.0699171350255334,0.079,0.04,0.019997062561869068,0,Caacu.v4.18G012040,Chr18,12151180,12156017,-,Polyketide cyclase/dehydrase and lipid transport superfamily protein
9.48584511171015e-7,0.5638160618028645,0.167,0.108,0.021991983306988813,0,Caacu.v4.15G005650,Chr15,10323034,10325410,-,Ribosomal L22e protein family
1.0187479541117842e-6,0.6514826585382393,0.14,0.085,0.023618652568127604,0,Caacu.v4.10G001860,Chr10,1988269,1992755,+,phosphoglycerate kinase
1.086573508073847e-6,0.6267794378972842,0.135,0.082,0.025191120211184068,0,Caacu.v4.3G015390,Chr3,13902103,13907726,+,photosynthetic electron transfer C
1.2072817853545061e-6,0.9042642142262534,0.09,0.048,0.02798962091165887,0,Caacu.v4.17G004480,Chr17,8683517,8694169,+,lipoxygenase
1.2939017885288075e-6,0.9448969894658703,0.109,0.063,0.029997819065251872,0,Caacu.v4.13G004240,Chr13,3182498,3183303,+,plastid-specific 50S ribosomal protein
1.3465866815487124e-6,0.792037064455575,0.09,0.048,0.031219265625025347,0,Caacu.v4.3G019510,Chr3,23676062,23676495,+,conserved hypothetical protein
1.3486271921679514e-6,0.6605792622003855,0.128,0.078,0.03126657282322179,0,Caacu.v4.5G001040,Chr5,759328,764569,+,CAAD domains of cyanobacterial aminoacyl-tRNA synthetase domain containing protein
1.4316663942824847e-6,1.3246389162288565,0.053,0.022,0.03319175368504512,0,Caacu.v4.17G000310,Chr17,681125,684369,+,"protein containing PDZ domain, a K-box domain, and a TPR region"
1.468856655029618e-6,1.0315022651044536,0.091,0.049,0.034053972690206664,0,Caacu.v4.10G004180,Chr10,4203925,4205306,+,hypothetical protein
1.5649935147517244e-6,0.18834928910135496,0.643,0.548,0.03628280964600398,0,Caacu.v4.16G012270,Chr16,13018974,13020027,+,lipid transfer protein
1.5809476152865108e-6,0.4530678679576394,0.231,0.164,0.03665268951280247,0,Caacu.v4.2G014650,Chr2,20175728,20182442,+,"magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)"
1.6333571602299287e-6,0.8262441729448419,0.104,0.059,0.03786775240277067,0,Caacu.v4.8G017240,Chr8,17915745,17916659,+,ribosomal protein S17
2.014306252061487e-6,0.7417366000860468,0.106,0.061,0.046699676147793516,0,Caacu.v4.4G013400,Chr4,16716718,16722156,+,catalase
2.0640638034339294e-6,0.9094143833115396,0.095,0.052,0.04785325521881222,0,Caacu.v4.4G018760,Chr4,20973089,20974079,-,ribosomal protein L12-A
2.14159279744272e-6,1.0054895197252471,0.086,0.046,0.04965068741591202,0,Caacu.v4.4G007040,Chr4,11213110,11221275,-,Phototropic-responsive NPH3 family protein
2.15120373443532e-6,0.828501581760398,0.098,0.055,0.04987350737914846,0,Caacu.v4.10G000370,Chr10,426291,432084,-,jasmonate-zim-domain protein
2.6069791664739008e-6,1.0432997449993116,0.072,0.036,0.06044020499553091,0,Caacu.v4.3G015480,Chr3,14047855,14055075,-,photosystem II reaction center PSB29 protein
2.6362163696947075e-6,0.8876245951630954,0.074,0.037,0.0611180403150021,0,Caacu.v4.9G012990,Chr9,16521687,16522994,+,glutathione S-transferase PHI
2.7027704893898657e-6,1.0634122499463468,0.054,0.024,0.06266103102601464,0,Caacu.v4.3G008420,Chr3,7152512,7154903,-,LORELEI-LIKE-GPI-ANCHORED PROTEIN
3.279421118178491e-6,0.9201146397602564,0.076,0.039,0.07603009920385013,0,Caacu.v4.7G011300,Chr7,16612671,16615416,-,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
3.3211520554740944e-6,0.8165504885162398,0.087,0.047,0.0769975892541114,0,Caacu.v4.8G003670,Chr8,5433410,5435392,+,cytokinin-responsive gata factor
3.4145222987447265e-6,0.6301746820078091,0.157,0.103,0.07916228497409773,0,Caacu.v4.5G010310,Chr5,8322396,8325046,+,Ribosomal protein L34
3.444161638040725e-6,1.5436312234890504,0.031,0.01,0.07984944341633617,0,Caacu.v4.3G011510,Chr3,9664161,9685125,+,embryo defective
3.4639847495106955e-6,0.43670941100550387,0.298,0.228,0.08030902243265596,0,Caacu.v4.10G015810,Chr10,18377930,18380920,+,photosystem II subunit P-1
3.6896709671941512e-6,0.6315488992645867,0.059,0.038,0.0855413317034292,0,Caacu.v4.16G001580,Chr16,1426759,1427448,-,ribosomal protein L23AB
3.834096289010904e-6,0.19095866004394768,0.685,0.606,0.08888968836442879,0,Caacu.v4.16G005440,Chr16,5034863,5036062,-,hypothetical protein
3.8580134870947504e-6,1.0046238140882793,0.077,0.041,0.0894441846848047,0,Caacu.v4.20G004400,Chr20,3346113,3350274,-,31-kDa RNA binding protein
3.952444520502726e-6,1.159191653038836,0.039,0.015,0.09163347376333521,0,Caacu.v4.11G004930,Chr11,5475218,5476294,+,DUF751 domain containing protein
4.078679871230623e-6,1.2454331023710385,0.049,0.021,0.09456011413461077,0,Caacu.v4.20G010240,Chr20,11032045,11033481,-,myb domain protein
4.229092746885448e-6,0.6650262808979783,0.094,0.052,0.09804728624379223,0,Caacu.v4.3G010790,Chr3,8972072,8977208,-,conserved hypothetical protein
4.36587868308102e-6,0.4987401841232426,0.203,0.142,0.10121853138855037,0,Caacu.v4.3G011080,Chr3,9223784,9225702,+,light-harvesting chlorophyll B-binding protein
4.7672313791338705e-6,0.9345280530112113,0.055,0.025,0.11052349229383965,0,Caacu.v4.18G008760,Chr18,7473550,7477187,-,Ribosomal protein L10 family protein
4.808575383853072e-6,1.0735002192147947,0.054,0.024,0.11148201169924961,0,Caacu.v4.6G021050,Chr6,20511929,20533968,+,Tetratricopeptide repeat (TPR)-like superfamily protein
4.94037387292758e-6,0.6547085573180866,0.142,0.092,0.11453762786995302,0,Caacu.v4.15G008670,Chr15,13244280,13246764,+,light harvesting complex photosystem II subunit
5.192830311551038e-6,0.7078651270839439,0.083,0.045,0.12039057794299927,0,Caacu.v4.3G017320,Chr3,17255829,17262754,-,Methyltransferase domain containing protein
5.2352026672517805e-6,2.2922160468493677,0.024,0.006,0.12137293863756528,0,Caacu.v4.11G001430,Chr11,2057860,2062608,+,wall associated kinase
5.720073525294495e-6,0.6349185296641524,0.106,0.068,0.13261418461042757,0,Caacu.v4.16G001600,Chr16,1431721,1433003,-,ribosomal protein L23AB
5.82042857810837e-6,0.8569716613380902,0.076,0.04,0.13494081615486445,0,Caacu.v4.3G011040,Chr3,9195887,9196882,+,Dynein light chain type 1 family protein
5.899431597883474e-6,0.9383600503765739,0.068,0.034,0.13677242216533045,0,Caacu.v4.1G012080,Chr1,18433415,18437011,+,conserved hypothetical protein
7.497581737882517e-6,1.411575888661191,0.028,0.009,0.17382393501106827,0,Caacu.v4.4G011010,Chr4,14821489,14835420,+,PQ-loop repeat family protein / transmembrane family protein
7.904751866561575e-6,0.20332617010501863,0.59,0.492,0.18326376727436355,0,Caacu.v4.5G007280,Chr5,5597038,5599806,+,Peroxidase superfamily protein
9.376226351308949e-6,0.2557132930946642,0.803,0.786,0.21737843172874668,0,Caacu.v4.17G004780,Chr17,9091006,9091892,-,Kunitz family trypsin and protease inhibitor protein
9.609413181170263e-6,1.741260615736055,0.029,0.009,0.2227846351922514,0,Caacu.v4.10G011410,Chr10,14511997,14519086,+,cellulose synthase-like B4
9.61101399310538e-6,0.8322340569512545,0.139,0.09,0.22282174841615515,0,Caacu.v4.13G000580,Chr13,440062,441178,+,Cupredoxin superfamily protein
9.672791550596607e-6,1.098256881065094,0.042,0.017,0.22425399930903173,0,Caacu.v4.2G017490,Chr2,23467069,23469381,+,conserved hypothetical protein
9.735559919319488e-6,0.9149041845267629,0.08,0.044,0.225709221169503,0,Caacu.v4.3G012770,Chr3,11014124,11019450,-,Aldolase-type TIM barrel family protein
9.951086834222408e-6,1.3958846071780733,0.027,0.008,0.2307059971646123,0,Caacu.v4.2G025130,Chr2,29936042,29938458,-,NAD(P)-binding Rossmann-fold superfamily protein
1.1562106801048113e-5,0.9434194326083163,0.083,0.047,0.26805588407549946,0,Caacu.v4.5G005820,Chr5,4562787,4565014,-,hypothetical protein
1.2924576168274527e-5,0.7041216841974087,0.095,0.055,0.2996433738852766,0,Caacu.v4.11G002600,Chr11,3567908,3576032,+,Ribosomal protein L6 family
1.295274901321414e-5,2.7293399419102586,0.016,0.003,0.30029653312235666,0,Caacu.v4.3G006100,Chr3,5105580,5107951,+,myb-like transcription factor family protein
1.3450452166663834e-5,0.6616911970178844,0.127,0.081,0.3118352830319343,0,Caacu.v4.7G005750,Chr7,11696771,11699616,-,copper/zinc superoxide dismutase
1.4465834956771691e-5,0.7102685421429455,0.057,0.028,0.3353759176377949,0,Caacu.v4.9G008060,Chr9,12420561,12422223,-,Eukaryotic aspartyl protease family protein
1.52810673123897e-5,1.9026383295318405,0.015,0.003,0.3542762645704428,0,Caacu.v4.7G009510,Chr7,15111305,15112566,-,hypothetical protein
1.5505309663205825e-5,1.8990452671746127,0.029,0.01,0.35947509923176385,0,Caacu.v4.1G010610,Chr1,17102213,17105725,-,indeterminate(ID)-domain
1.6260010811411133e-5,0.8095033637264604,0.094,0.055,0.37697209065175574,0,Caacu.v4.18G003360,Chr18,2911065,2915998,-,"Dihydrodipicolinate reductase, bacterial/plant"
1.7809280954488178e-5,1.048333951713555,0.054,0.026,0.41289036964885395,0,Caacu.v4.8G005010,Chr8,6622966,6626125,-,RHO guanyl-nucleotide exchange factor
1.928528970034332e-5,2.663090885481089,0.012,0.002,0.44711015641275953,0,Caacu.v4.2G027150,Chr2,31457750,31462019,+,magnesium transporter
2.032235233495832e-5,0.4039076584545014,0.351,0.285,0.4711534165336737,0,Caacu.v4.2G009040,Chr2,7345117,7345832,+,Thylakoid soluble phosphoprotein TSP9 domain containing protein
2.1438090642099e-5,2.359408180165691,0.018,0.004,0.49702069344642325,0,Caacu.v4.13G011020,Chr13,11230824,11234370,-,NmrA-like negative transcriptional regulator family protein
2.2461728433962252e-5,1.3535871206848467,0.04,0.017,0.5207527120129809,0,Caacu.v4.13G002010,Chr13,1504683,1506659,+,geranylgeranyl pyrophosphate synthase
2.363581348883998e-5,0.47512065388114766,0.182,0.128,0.5479726999252661,0,Caacu.v4.12G010670,Chr12,15961785,15962816,-,one helix protein
2.4290162855184084e-5,0.4234261629542502,0.247,0.185,0.5631431356345878,0,Caacu.v4.2G011080,Chr2,14408997,14410643,+,Tautomerase/MIF superfamily protein
2.431333748071692e-5,0.4755753505507663,0.119,0.074,0.5636804161529411,0,Caacu.v4.16G010800,Chr16,10679211,10685487,-,cation exchanger
2.438975757052211e-5,0.813006364660355,0.069,0.037,0.5654521395149845,0,Caacu.v4.9G009830,Chr9,14051649,14053691,-,CYCLIN D3;1
2.440669034506296e-5,0.9147443856224613,0.068,0.036,0.5658447089599397,0,Caacu.v4.4G018550,Chr4,20807980,20812265,+,cyclophilin
2.694321950429397e-5,0.6480560326773199,0.095,0.056,0.6246516009875513,0,Caacu.v4.12G010500,Chr12,15885845,15892372,-,NAD(P)-binding Rossmann-fold superfamily protein
2.7137539086329234e-5,0.6930737614117353,0.106,0.065,0.629156706177457,0,Caacu.v4.15G008590,Chr15,13182288,13189779,-,beta-D-xylosidase
2.8189157451372067e-5,2.2524201916236204,0.016,0.003,0.65353742635261,0,Caacu.v4.20G006730,Chr20,5511085,5514993,-,hypothetical protein
2.8548764496859476e-5,0.2566788461866203,0.3,0.231,0.6618745560951901,0,Caacu.v4.7G011360,Chr7,16646853,16649609,+,Ribosomal protein L32e
2.920214658040679e-5,1.0423159912753472,0.051,0.024,0.677022566320151,0,Caacu.v4.17G007320,Chr17,11776140,11785109,-,copper/zinc superoxide dismutase
