A.thaliana	G.sempervirens	C.roseus	Short_description	Curator_summary
AT1G51580.1	NA	NA	RNA-binding KH domain-containing protein	NA
AT3G21160.1	Gelse_mpi.v2.2_MPIG043800.2	CRO_01G000320.1	alpha-mannosidase 2	Encodes an alpha-mannosidase I enzyme responsible for N-glycan maturation.
AT1G51590.1	Gelse_mpi.v2.2_MPIG043800.2	CRO_01G000320.1	alpha-mannosidase 1	Encodes an alpha-mannosidase I enzyme responsible for N-glycan maturation.
AT1G16920.1	NA	NA	RAB GTPase homolog A1B	small GTP-binding protein (Rab11)similar to YPT3/RAB11 proteins in yeast and mammals, respectively. YPT3/RAB11 is involved in intracellular protein trafficking.
AT3G21175.1	Gelse_mpi.v2.2_MPIG043810.2	NA	ZIM-like 1	member of a novel family of plant-specific GATA-type transcription factors.
AT1G51600.1	Gelse_mpi.v2.2_MPIG043810.2	NA	ZIM-LIKE 2	member of a novel family of plant-specific GATA-type transcription factors.
AT1G51610.1	Gelse_mpi.v2.2_MPIG043790.2	CRO_01G000330.1	Cation efflux family protein	NA
NA	Gelse_mpi.v2.2_MPIG043770.1	NA	NA	NA
AT1G16950.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043780.1	CRO_01G000340.1	NA	NA
AT1G51620.2	NA	NA	Protein kinase superfamily protein	NA
AT1G16960.1	NA	NA	Ubiquitin domain-containing protein	NA
AT3G21180.1	Gelse_mpi.v2.2_MPIG043760.1	CRO_01G000350.1	autoinhibited Ca(2+)-ATPase 9	one of the type IIB calcium pump isoforms. encodes an autoinhibited Ca(2+)-ATPase that contains an N-terminal calmodulin binding autoinhibitory domain.
AT1G16970.1	NA	NA	KU70 homolog	Ku80 and ku70 form the heterodimer complex Ku, required for proper maintenance of  the telomeric C strand. Ku regulates the extension of the telomeric G strand. Interacts with WEX, and this interaction stimulates the WEX exonuclease activity.
AT3G21190.1	Gelse_mpi.v2.2_MPIG043750.2	CRO_01G000360.1	O-fucosyltransferase family protein	NA
AT1G51630.1	Gelse_mpi.v2.2_MPIG043750.2	CRO_01G000360.1	O-fucosyltransferase family protein	NA
NA	Gelse_mpi.v2.2_MPIG043740.1	NA	NA	NA
NA	NA	CRO_01G000370.1	NA	NA
AT1G17010.1	NA	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
AT3G21200.1	Gelse_mpi.v2.2_MPIG043730.1	NA	proton gradient regulation 7	NA
AT1G51640.1	NA	NA	exocyst subunit exo70 family protein G2	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.
NA	Gelse_mpi.v2.2_MPIG043720.1	CRO_01G000380.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043710.1	NA	NA	NA
NA	NA	CRO_01G000390.1	NA	NA
AT1G51650.1	Gelse_mpi.v2.2_MPIG043700.1	CRO_01G000400.1	ATP synthase epsilon chain, mitochondrial	NA
NA	Gelse_mpi.v2.2_MPIG043690.1	CRO_01G000410.2	NA	NA
AT1G17060.1	NA	NA	cytochrome p450 72c1	Encodes a protein with similarity to other cytochrome P450's and is a homolog of BAS1. Over expression causes a dwarf phenotype resembling brassinolide resistant mutants. Double mutant analysis of sob7/bas1 loss of function mutants suggests these genes have redundant functions in light responsiveness. SOB7 may function in metabolizing brassinolides. Expressed in leaf, root, stem and silique but expression highest in flower and cauline leaves. Dominant overexpressing plants have dwarf phenotype, short siliques/seeds, rounded dark green leaves and short hypocotyls in light and dark. Loss of function alleles result in plants with long hypocotyls.
AT1G17070.1	NA	NA	GC-rich sequence DNA-binding factor-like protein with Tuftelin interacting domain	NA
NA	NA	CRO_01G000420.10	NA	NA
AT1G17080.1	NA	NA	Ribosomal protein L18ae family	NA
AT1G17090.1	NA	NA	NA	NA
AT3G21220.1	NA	CRO_01G000430.2	MAP kinase kinase 5	Encodes a mitogen-activated kinase kinase, dual specific protein kinase that is expressed in vegetative tissues and floral buds. Involved in innate immunity. This protein activates MPK3/MPK6 and early-defense genes redundantly with MKK4.In plants with both MKK5 and MKK6 levels reduced by RNAi plants, floral organs do not abscise suggestion a role for both proteins in mediating floral organ abscission.
AT1G51660.1	NA	CRO_01G000430.2	mitogen-activated protein kinase kinase 4	Encodes a mitogen-activated map kinase kinase (there are nine in Arabidopsis) involved in innate immunity. This protein activates MPK3/MPK6 and early-defense genes redundantly with MKK5. In plants with both MKK5 and MKK6 levels reduced by RNAi plants, floral organs do not abscise suggestion a role for both proteins in mediating floral organ abscission.
NA	NA	CRO_01G000440.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043670.1	CRO_01G000500.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043610.1	CRO_01G000450.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043630.1	CRO_01G000460.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043640.1	CRO_01G000470.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043650.1	CRO_01G000480.1	NA	NA
AT1G17150.1	NA	NA	Pectin lyase-like superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG043620.1	NA	NA	NA
AT3G21215.1	Gelse_mpi.v2.2_MPIG043660.1	CRO_01G000490.1	RNA-binding (RRM/RBD/RNP motifs) family protein	NA
AT1G17190.1	NA	NA	glutathione S-transferase tau 26	Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT3G13320.1	Gelse_mpi.v2.2_MPIG043600.1	CRO_01G000510.5	cation exchanger 2	low affinity calcium antiporter CAX2
AT1G55720.1	Gelse_mpi.v2.2_MPIG043600.1	CRO_01G000510.5	cation exchanger 6	member of Low affinity calcium antiporter CAX2 family
AT1G53710.1	NA	CRO_01G000530.1	Calcineurin-like metallo-phosphoesterase superfamily protein	NA
AT3G14362.1	Gelse_mpi.v2.2_MPIG043580.1	NA	ROTUNDIFOLIA like 10	NA
AT1G53708.1	Gelse_mpi.v2.2_MPIG043580.1	NA	ROTUNDIFOLIA like 9	NA
NA	Gelse_mpi.v2.2_MPIG043570.2	CRO_01G000540.2	NA	NA
AT1G17235.1	NA	NA	ROTUNDIFOLIA like 11	This gene is predicted to encode a small protein with a DVL domain found in the DVL / RTFL protein family. Over-expression analyses using truncated versions of a related family member, ROT4, suggest that the DVL / RTF domain is involved in regulating cell proliferation.
NA	NA	CRO_01G000550.3	NA	NA
AT1G17250.1	Gelse_mpi.v2.2_MPIG043590.1	CRO_01G000520.1	receptor like protein 3	NA
AT1G72300.1	Gelse_mpi.v2.2_MPIG043590.1	CRO_01G000520.1	Leucine-rich receptor-like protein kinase family protein	Encodes a leucine-rich repeat receptor kinase (LRR-RK) involved in the perception of PSY1.  PSY1 is an 18-aa tyrosine-sulfated glycopeptide encoded by AT5G58650 that promotes cellular proliferation and expansion.
AT1G53720.1	NA	NA	cyclophilin 59	Encodes a cyclophilin, member of a family modular proteins consisting of a peptidyl-prolyl cis  trans isomerase (PPIase) domain, followed by an RNA recognition motif (RRM), and a C-terminal domain enriched in charged  amino acids. Interacts with with SCL33/SR33 and with a majority of Arabidopsis SR proteins and the largest subunit of RNA polymerase II. Localizes to the nucleus, but it does not significantly colocalize with SR  proteins in nuclear speckles.
AT1G17260.1	Gelse_mpi.v2.2_MPIG043560.7	CRO_01G000560.1	autoinhibited H(+)-ATPase isoform 10	belongs to H+-APTase gene family,  involved in proanthocyanidin biosynthesis,  disturbs the vacuolar biogenesis and acidification process
AT3G14360.1	Gelse_mpi.v2.2_MPIG043550.5	CRO_01G000570.1	alpha/beta-Hydrolases superfamily protein	NA
NA	NA	CRO_01G000580.1	NA	NA
AT3G14350.1	Gelse_mpi.v2.2_MPIG043540.1	CRO_01G000590.1	STRUBBELIG-receptor family 7	NA
AT1G53730.2	Gelse_mpi.v2.2_MPIG043540.1	CRO_01G000590.1	STRUBBELIG-receptor family 6	NA
AT1G53750.1	Gelse_mpi.v2.2_MPIG043530.1	CRO_01G000600.1	regulatory particle triple-A 1A	26S proteasome AAA-ATPase subunit RPT1a (RPT1a) mRNA,
AT1G53760.1	NA	CRO_01G000610.1	NA	NA
AT3G14340.1	NA	NA	NA	NA
AT1G17270.1	Gelse_mpi.v2.2_MPIG043520.1	CRO_01G000620.6	O-fucosyltransferase family protein	NA
AT1G53770.2	Gelse_mpi.v2.2_MPIG043520.1	CRO_01G000620.6	O-fucosyltransferase family protein	NA
AT1G53780.2	NA	NA	peptidyl-prolyl cis-trans isomerases;hydrolases;nucleoside-triphosphatases;ATP binding;nucleotide binding;ATPases	NA
AT1G53785.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043510.1	CRO_01G000630.1	NA	NA
AT1G17280.1	Gelse_mpi.v2.2_MPIG043450.8	NA	ubiquitin-conjugating enzyme 34	NA
AT1G53800.2	Gelse_mpi.v2.2_MPIG043500.1	CRO_01G000640.1	NA	NA
AT3G14330.1	NA	NA	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG043490.1	CRO_01G000650.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043480.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043460.3	CRO_01G000660.4	NA	NA
AT1G17285.1	NA	NA	NA	NA
AT3G14320.1	NA	NA	Zinc finger, C3HC4 type (RING finger) family protein	NA
AT1G53820.1	Gelse_mpi.v2.2_MPIG043470.1	CRO_01G000670.1	RING/U-box superfamily protein	NA
AT1G72310.1	Gelse_mpi.v2.2_MPIG043470.1	CRO_01G000670.1	RING/U-box superfamily protein	Encodes a putative RING-H2 zinc finger protein ATL3 (ATL3).
NA	Gelse_mpi.v2.2_MPIG043440.1	NA	NA	NA
AT1G72320.1	Gelse_mpi.v2.2_MPIG043430.5	CRO_01G000680.1	pumilio 23	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.
AT3G14310.1	Gelse_mpi.v2.2_MPIG043420.3	CRO_01G000690.1	pectin methylesterase 3	encodes a pectin methylesterase, targeted by a cellulose binding protein (CBP) from the parasitic nematode Heterodera schachtii during parasitism.
AT1G53830.1	Gelse_mpi.v2.2_MPIG043420.3	CRO_01G000690.1	pectin methylesterase 2	encodes a pectin methylesterase
AT3G14300.1	Gelse_mpi.v2.2_MPIG043410.1	CRO_01G000700.1	pectinesterase family protein	NA
AT1G53840.1	Gelse_mpi.v2.2_MPIG043410.1	CRO_01G000700.1	pectin methylesterase 1	encodes a pectin methylesterase
AT1G17290.1	Gelse_mpi.v2.2_MPIG043400.2	CRO_01G000710.1	alanine aminotransferas	Encodes for alanine aminotransferase (ALAAT1), involved in alanine catabolism during plants recovery from hypoxia
AT1G72330.3	Gelse_mpi.v2.2_MPIG043400.2	CRO_01G000710.1	alanine aminotransferase 2	Encodes for alanine aminotransferase ALAAT2.
NA	NA	CRO_01G000730.1	NA	NA
AT3G14290.1	Gelse_mpi.v2.2_MPIG043390.1	CRO_01G000740.4	20S proteasome alpha subunit E2	Encodes 20S proteasome subunit PAE2 (PAE2).
AT1G53850.1	Gelse_mpi.v2.2_MPIG043390.1	CRO_01G000740.4	20S proteasome alpha subunit E1	Encodes alpha5 subunit of 20s proteosome involved in protein degradation.
AT1G53860.1	Gelse_mpi.v2.2_MPIG043380.4	CRO_01G000750.1	Remorin family protein	NA
AT1G72350.1	NA	NA	MADS-box transcription factor family protein	NA
NA	NA	CRO_01G000760.1	NA	NA
AT1G17310.1	NA	NA	MADS-box transcription factor family protein	NA
AT3G14280.1	Gelse_mpi.v2.2_MPIG043370.1	CRO_01G000770.1	NA	NA
AT3G14270.1	Gelse_mpi.v2.2_MPIG043360.2	CRO_01G000780.1	phosphatidylinositol-4-phosphate 5-kinase family protein	Encodes a protein that is predicted to act as a 1-phosphatidylinositol-3-phosphate (PtdIns3P) 5-kinase based on its homology to Fab1 from yeast. It contains an FYVE domain required for binding to PtdIns3P-containing membranes in yeast, as well as a Cpn60_TCP1 homology domain plus a kinase domain. fab1a/fab1b pollen grains not viable and have defective vacuolar organization.
AT1G72360.2	NA	NA	Integrase-type DNA-binding superfamily protein	encodes a member of the ERF (ethylene response factor) subfamily B-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.
AT1G53880.1	Gelse_mpi.v2.2_MPIG043350.2	CRO_01G000790.2	Eukaryotic translation initiation factor 2B (eIF-2B) family protein	NA
AT1G72340.1	Gelse_mpi.v2.2_MPIG043350.2	CRO_01G000790.2	NagB/RpiA/CoA transferase-like superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG043320.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043310.1	CRO_01G000800.1	NA	NA
AT1G17330.1	NA	NA	Metal-dependent phosphohydrolase	NA
AT1G53885.1	Gelse_mpi.v2.2_MPIG043330.1	CRO_01G000810.1	Protein of unknown function (DUF581)	NA
AT1G72370.1	NA	NA	40s ribosomal protein SA	acidic protein associated to 40S ribosomal subunit of ribosomes. Involved in polysome formation during active protein synthesis. Expressed in actively growing tissue.
AT1G53887.1	NA	NA	NA	NA
AT3G14250.1	NA	NA	RING/U-box superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG043300.1	CRO_01G000820.1	NA	NA
AT3G14260.1	NA	NA	Protein of unknown function (DUF567)	NA
AT1G53890.3	NA	NA	Protein of unknown function (DUF567)	NA
NA	NA	CRO_01G000830.1	NA	NA
AT1G17340.1	NA	NA	Phosphoinositide phosphatase family protein	NA
AT3G14240.1	Gelse_mpi.v2.2_MPIG043290.1	CRO_01G000840.1	Subtilase family protein	NA
AT3G14230.1	Gelse_mpi.v2.2_MPIG043280.1	CRO_01G000850.2	related to AP2 2	encodes a member of the ERF (ethylene response factor) subfamily B-2 of ERF/AP2 transcription factor family (RAP2.2). The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.
AT1G53910.1	Gelse_mpi.v2.2_MPIG043280.1	CRO_01G000850.2	related to AP2 12	encodes a member of the ERF (ethylene response factor) subfamily B-2 of ERF/AP2 transcription factor family (RAP2.12). The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.
AT1G72410.2	NA	NA	COP1-interacting protein-related	NA
NA	NA	CRO_01G000860.1	NA	NA
AT1G53930.1	NA	NA	Ubiquitin-like superfamily protein	NA
AT1G17345.1	NA	NA	SAUR-like auxin-responsive protein family 	NA
AT1G53935.1	NA	NA	NA	NA
AT3G14225.1	Gelse_mpi.v2.2_MPIG043260.1	CRO_01G000950.1	GDSL-motif lipase 4	Contains lipase signature motif and GDSL domain.
AT1G53940.1	Gelse_mpi.v2.2_MPIG043260.1	CRO_01G000950.1	GDSL-motif lipase 2	Encodes a lipase, has in vitro lipase activity with p-nitrophenyl acetate and p-nitrophenyl butyrate, gene expression induced by hormones, negatively regulates auxin signaling, involved in disease resistance
AT3G14210.1	NA	NA	epithiospecifier modifier 1	A semidominant QTL which has an epistatic effect on the Epithiospecifier gene. Represses nitrile formation and favors isothiocyanate production during glucosinolate hydrolysis. The functional allele deters the insect herbivory T. ni.
AT1G53970.1	NA	NA	NA	NA
AT1G53920.1	Gelse_mpi.v2.2_MPIG043270.1	CRO_01G000870.2	GDSL-motif lipase 5	Contains lipase signature motif and GDSL domain.
AT1G54070.1	Gelse_mpi.v2.2_MPIG043170.1	CRO_01G000890.1	Dormancy/auxin associated family protein	NA
AT3G14205.1	NA	NA	Phosphoinositide phosphatase family protein	NA
AT1G53980.1	NA	NA	Ubiquitin-like superfamily protein	NA
AT3G14200.1	Gelse_mpi.v2.2_MPIG043180.3	CRO_01G000900.2	Chaperone DnaJ-domain superfamily protein	NA
AT1G72416.3	Gelse_mpi.v2.2_MPIG043180.3	CRO_01G000900.2	Chaperone DnaJ-domain superfamily protein	NA
AT1G54010.1	NA	NA	GDSL-like Lipase/Acylhydrolase superfamily protein	NA
AT1G17350.2	Gelse_mpi.v2.2_MPIG043190.9	CRO_01G000910.1	NADH:ubiquinone oxidoreductase intermediate-associated protein 30	NA
AT1G72420.1	Gelse_mpi.v2.2_MPIG043190.9	CRO_01G000910.1	NADH:ubiquinone oxidoreductase intermediate-associated protein 30	NA
AT1G54040.2	NA	NA	epithiospecifier protein	Epithiospecifier protein, interacts with WRKY53. Involved in pathogen resistance and leaf senescence.
AT1G72430.1	NA	NA	SAUR-like auxin-responsive protein family 	NA
AT1G54050.1	Gelse_mpi.v2.2_MPIG043220.1	CRO_01G000920.1	HSP20-like chaperones superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG043210.1	NA	NA	NA
AT1G72440.1	Gelse_mpi.v2.2_MPIG043200.1	CRO_01G000930.1	CCAAT-binding factor	Encodes SLOW WALKER2 (SWA2), a NOC1/Mak21 homologue.  Essential for coordinated cell cycle progression during female gametophyte development.
AT3G14190.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043230.1	CRO_01G000940.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG043240.1	NA	NA	NA
AT1G54060.1	NA	NA	6B-interacting protein 1-like 1	Member of the trihelix DNA binding protein family. Nuclear localized. Involved in repressing seed maturation genes during seed germination and seedling development.
AT3G14180.1	Gelse_mpi.v2.2_MPIG043160.1	CRO_01G000970.1	sequence-specific DNA binding transcription factors	NA
NA	Gelse_mpi.v2.2_MPIG043150.1	NA	NA	NA
AT3G14172.1	Gelse_mpi.v2.2_MPIG043140.2	CRO_01G000980.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG043130.1	NA	NA	NA
AT3G14170.1	NA	NA	Plant protein of unknown function (DUF936)	NA
AT1G17360.1	NA	NA	NA	NA
AT1G72450.1	NA	NA	jasmonate-zim-domain protein 6	JAZ6 transcript levels rise in response to a jasmonate stimulus and a GFP:JAZ6 fusion protein localizes to the nucleus.  Application of jasmonate methyl ester to Arabidopsis roots reduces the levels of a JAZ6:GUS fusion protein, presumably by stimulating ubiquitin-proteasome-mediated degradation.
NA	Gelse_mpi.v2.2_MPIG043120.1	CRO_01G000990.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG043090.1	NA	NA	NA
NA	NA	CRO_01G001000.1	NA	NA
AT3G14140.1	Gelse_mpi.v2.2_MPIG043110.1	CRO_01G001010.1	2-oxoglutarate-dependent dioxygenase family protein	NA
NA	Gelse_mpi.v2.2_MPIG043100.1	NA	NA	NA
NA	NA	CRO_01G001020.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043080.1	NA	NA	NA
NA	NA	CRO_01G001030.1	NA	NA
AT3G14130.1	Gelse_mpi.v2.2_MPIG043060.1	NA	Aldolase-type TIM barrel family protein	NA
AT1G72390.1	Gelse_mpi.v2.2_MPIG043070.1	CRO_01G001050.2	NA	NA
NA	NA	CRO_01G001040.1	NA	NA
AT1G72460.1	NA	NA	Leucine-rich repeat protein kinase family protein	NA
AT3G14120.1	Gelse_mpi.v2.2_MPIG043040.1	CRO_01G001060.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043030.1	NA	NA	NA
AT3G14100.1	Gelse_mpi.v2.2_MPIG043020.1	CRO_01G001070.3	RNA-binding (RRM/RBD/RNP motifs) family protein	NA
AT1G17370.1	Gelse_mpi.v2.2_MPIG043020.1	CRO_01G001070.3	oligouridylate binding protein 1B	NA
AT1G54080.2	Gelse_mpi.v2.2_MPIG043020.1	CRO_01G001070.3	oligouridylate-binding protein 1A	NA
AT3G14110.3	NA	NA	Tetratricopeptide repeat (TPR)-like superfamily protein	Encodes a novel coiled-coil, TPR domain containing protein that is localized to the chloroplast membrane and is involved in chlorophyll biosynthesis.  Mutants accumulate protochlorophyllide, an intermediate in the chlorophyll biosynthesis pathway, in dark and release singlet oxygen in plastids in a controlled and non-invasive manner upon a dark/light shift.
NA	Gelse_mpi.v2.2_MPIG043010.4	CRO_01G001080.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG043000.2	CRO_01G001090.1	NA	NA
AT3G14090.1	Gelse_mpi.v2.2_MPIG042990.3	CRO_01G001110.1	exocyst subunit exo70 family protein D3	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.
AT1G54090.1	Gelse_mpi.v2.2_MPIG042990.3	CRO_01G001110.1	exocyst subunit exo70 family protein D2	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.
AT1G72470.1	Gelse_mpi.v2.2_MPIG042990.3	CRO_01G001110.1	exocyst subunit exo70 family protein D1	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.
AT1G17380.1	NA	NA	jasmonate-zim-domain protein 5	NA
AT1G72480.1	Gelse_mpi.v2.2_MPIG042980.2	CRO_01G001130.1	Lung seven transmembrane receptor family protein	NA
AT3G14080.1	NA	CRO_01G001140.2	Small nuclear ribonucleoprotein family protein	NA
NA	Gelse_mpi.v2.2_MPIG042970.1	NA	NA	NA
NA	NA	CRO_01G001150.1	NA	NA
AT1G17400.1	Gelse_mpi.v2.2_MPIG042960.1	CRO_01G001160.1	NA	NA
AT1G72490.1	Gelse_mpi.v2.2_MPIG042960.1	CRO_01G001160.1	NA	NA
AT1G54095.1	NA	NA	Protein of unknown function (DUF1677)	NA
NA	Gelse_mpi.v2.2_MPIG042940.1	NA	NA	NA
NA	NA	CRO_01G001170.11	NA	NA
NA	Gelse_mpi.v2.2_MPIG042930.1	NA	NA	NA
AT3G14075.1	Gelse_mpi.v2.2_MPIG042920.1	CRO_01G001180.5	Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3	NA
AT1G72500.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG042910.2	CRO_01G001190.1	NA	NA
NA	NA	CRO_01G001200.1	NA	NA
NA	NA	CRO_01G001210.1	NA	NA
