A.thaliana	G.sempervirens	C.roseus
AT1G51630.1	Gelse_mpi.v2.2_MPIG043750.2	CRO_01G000360.1
		
	Gelse_mpi.v2.2_MPIG043740.1	
		
		
		
		
		
		
		CRO_01G000370.1
		
		
		
		
		
		
AT1G17010.1		
AT3G21200.1	Gelse_mpi.v2.2_MPIG043730.1	
AT1G51640.1		
	Gelse_mpi.v2.2_MPIG043720.1	CRO_01G000380.1
		
		
		
	Gelse_mpi.v2.2_MPIG043710.1	
		CRO_01G000390.1
		
		
		
		
AT1G51650.1	Gelse_mpi.v2.2_MPIG043700.1	CRO_01G000400.1
		
		
		
	Gelse_mpi.v2.2_MPIG043690.1	CRO_01G000410.2
AT1G17060.1		
		
AT1G17070.1		
		
		CRO_01G000420.10
AT1G17080.1		
		
		
AT1G17090.1		
AT3G21220.1		CRO_01G000430.2
AT1G51660.1		CRO_01G000430.2
		
		
		
		CRO_01G000440.1
		
		
		
	Gelse_mpi.v2.2_MPIG043670.1	CRO_01G000500.1
	Gelse_mpi.v2.2_MPIG043610.1	CRO_01G000450.1
		
	Gelse_mpi.v2.2_MPIG043630.1	CRO_01G000460.1
		
		
	Gelse_mpi.v2.2_MPIG043640.1	CRO_01G000470.1
		
	Gelse_mpi.v2.2_MPIG043650.1	CRO_01G000480.1
AT1G17150.1		
		
		
	Gelse_mpi.v2.2_MPIG043620.1	
AT3G21215.1	Gelse_mpi.v2.2_MPIG043660.1	CRO_01G000490.1
		
		
		
		
		
		
		
		
		
AT1G17190.1		
AT3G13320.1	Gelse_mpi.v2.2_MPIG043600.1	CRO_01G000510.5
AT1G55720.1	Gelse_mpi.v2.2_MPIG043600.1	CRO_01G000510.5
		
		
		
		
		
		
		
		
AT1G53710.1		CRO_01G000530.1
AT3G14362.1	Gelse_mpi.v2.2_MPIG043580.1	
AT1G53708.1	Gelse_mpi.v2.2_MPIG043580.1	
		
		
	Gelse_mpi.v2.2_MPIG043570.2	CRO_01G000540.2
AT1G17235.1		
		
		
		
		
		CRO_01G000550.3
		
		
		
AT1G17250.1	Gelse_mpi.v2.2_MPIG043590.1	CRO_01G000520.1
AT1G72300.1	Gelse_mpi.v2.2_MPIG043590.1	CRO_01G000520.1
		
		
		
		
AT1G53720.1		
AT1G17260.1	Gelse_mpi.v2.2_MPIG043560.7	CRO_01G000560.1
AT3G14360.1	Gelse_mpi.v2.2_MPIG043550.5	CRO_01G000570.1
		CRO_01G000580.1
AT3G14350.1	Gelse_mpi.v2.2_MPIG043540.1	CRO_01G000590.1
AT1G53730.2	Gelse_mpi.v2.2_MPIG043540.1	CRO_01G000590.1
		
AT1G53750.1	Gelse_mpi.v2.2_MPIG043530.1	CRO_01G000600.1
AT1G53760.1		CRO_01G000610.1
		
AT3G14340.1		
AT1G17270.1	Gelse_mpi.v2.2_MPIG043520.1	CRO_01G000620.6
AT1G53770.2	Gelse_mpi.v2.2_MPIG043520.1	CRO_01G000620.6
		
AT1G53780.2		
AT1G53785.1		
	Gelse_mpi.v2.2_MPIG043510.1	CRO_01G000630.1
		
AT1G17280.1	Gelse_mpi.v2.2_MPIG043450.8	
AT1G53800.2	Gelse_mpi.v2.2_MPIG043500.1	CRO_01G000640.1
AT3G14330.1		
		
	Gelse_mpi.v2.2_MPIG043490.1	CRO_01G000650.1
		
		
		
	Gelse_mpi.v2.2_MPIG043480.1	
	Gelse_mpi.v2.2_MPIG043460.3	CRO_01G000660.4
		
AT1G17285.1		
AT3G14320.1		
		
AT1G53820.1	Gelse_mpi.v2.2_MPIG043470.1	CRO_01G000670.1
AT1G72310.1	Gelse_mpi.v2.2_MPIG043470.1	CRO_01G000670.1
		
		
		
	Gelse_mpi.v2.2_MPIG043440.1	
AT1G72320.1	Gelse_mpi.v2.2_MPIG043430.5	CRO_01G000680.1
		
		
		
AT3G14310.1	Gelse_mpi.v2.2_MPIG043420.3	CRO_01G000690.1
AT1G53830.1	Gelse_mpi.v2.2_MPIG043420.3	CRO_01G000690.1
		
		
AT3G14300.1	Gelse_mpi.v2.2_MPIG043410.1	CRO_01G000700.1
AT1G53840.1	Gelse_mpi.v2.2_MPIG043410.1	CRO_01G000700.1
		
		
AT1G17290.1	Gelse_mpi.v2.2_MPIG043400.2	CRO_01G000710.1
AT1G72330.3	Gelse_mpi.v2.2_MPIG043400.2	CRO_01G000710.1
		CRO_01G000730.1
AT3G14290.1	Gelse_mpi.v2.2_MPIG043390.1	CRO_01G000740.4
AT1G53850.1	Gelse_mpi.v2.2_MPIG043390.1	CRO_01G000740.4
		
AT1G53860.1	Gelse_mpi.v2.2_MPIG043380.4	CRO_01G000750.1
		
		
AT1G72350.1		
		CRO_01G000760.1
AT1G17310.1		
AT3G14280.1	Gelse_mpi.v2.2_MPIG043370.1	CRO_01G000770.1
AT3G14270.1	Gelse_mpi.v2.2_MPIG043360.2	CRO_01G000780.1
		
		
AT1G72360.2		
		
		
AT1G53880.1	Gelse_mpi.v2.2_MPIG043350.2	CRO_01G000790.2
AT1G72340.1	Gelse_mpi.v2.2_MPIG043350.2	CRO_01G000790.2
		
		
	Gelse_mpi.v2.2_MPIG043320.1	
	Gelse_mpi.v2.2_MPIG043310.1	CRO_01G000800.1
AT1G17330.1		
AT1G53885.1	Gelse_mpi.v2.2_MPIG043330.1	CRO_01G000810.1
AT1G72370.1		
AT1G53887.1		
AT3G14250.1		
		
		
	Gelse_mpi.v2.2_MPIG043300.1	CRO_01G000820.1
AT3G14260.1		
AT1G53890.3		
		CRO_01G000830.1
		
		
AT1G17340.1		
AT3G14240.1	Gelse_mpi.v2.2_MPIG043290.1	CRO_01G000840.1
		
		
AT3G14230.1	Gelse_mpi.v2.2_MPIG043280.1	CRO_01G000850.2
AT1G53910.1	Gelse_mpi.v2.2_MPIG043280.1	CRO_01G000850.2
		
		
		
AT1G72410.2		
		CRO_01G000860.1
		
		
AT1G53930.1		
AT1G17345.1		
AT1G53935.1		
AT3G14225.1	Gelse_mpi.v2.2_MPIG043260.1	CRO_01G000950.1
AT1G53940.1	Gelse_mpi.v2.2_MPIG043260.1	CRO_01G000950.1
		
AT3G14210.1		
		
		
AT1G53970.1		
AT1G53920.1	Gelse_mpi.v2.2_MPIG043270.1	CRO_01G000870.2
AT1G54070.1	Gelse_mpi.v2.2_MPIG043170.1	CRO_01G000890.1
AT3G14205.1		
		
AT1G53980.1		
		
		
		
AT3G14200.1	Gelse_mpi.v2.2_MPIG043180.3	CRO_01G000900.2
AT1G72416.3	Gelse_mpi.v2.2_MPIG043180.3	CRO_01G000900.2
		
AT1G54010.1		
		
AT1G17350.2	Gelse_mpi.v2.2_MPIG043190.9	CRO_01G000910.1
AT1G72420.1	Gelse_mpi.v2.2_MPIG043190.9	CRO_01G000910.1
		
		
AT1G54040.2		
AT1G72430.1		
AT1G54050.1	Gelse_mpi.v2.2_MPIG043220.1	CRO_01G000920.1
	Gelse_mpi.v2.2_MPIG043210.1	
		
		
AT1G72440.1	Gelse_mpi.v2.2_MPIG043200.1	CRO_01G000930.1
		
		
AT3G14190.1		
		
	Gelse_mpi.v2.2_MPIG043230.1	CRO_01G000940.2
	Gelse_mpi.v2.2_MPIG043240.1	
		
		
		
		
		
AT1G54060.1		
AT3G14180.1	Gelse_mpi.v2.2_MPIG043160.1	CRO_01G000970.1
		
	Gelse_mpi.v2.2_MPIG043150.1	
		
		
		
AT3G14172.1	Gelse_mpi.v2.2_MPIG043140.2	CRO_01G000980.2
		
		
	Gelse_mpi.v2.2_MPIG043130.1	
		
		
		
AT3G14170.1		
		
AT1G17360.1		
AT1G72450.1		
		
		
		
	Gelse_mpi.v2.2_MPIG043120.1	CRO_01G000990.2
	Gelse_mpi.v2.2_MPIG043090.1	
		CRO_01G001000.1
		
		
		
AT3G14140.1	Gelse_mpi.v2.2_MPIG043110.1	CRO_01G001010.1
		
		
		
	Gelse_mpi.v2.2_MPIG043100.1	
		CRO_01G001020.1
		
		
	Gelse_mpi.v2.2_MPIG043080.1	
		
		
		
		CRO_01G001030.1
		
		
		
AT3G14130.1	Gelse_mpi.v2.2_MPIG043060.1	
		
		
		
		
		
AT1G72390.1	Gelse_mpi.v2.2_MPIG043070.1	CRO_01G001050.2
		CRO_01G001040.1
		
		
		
		
		
		
AT1G72460.1		
		
		
		
		
AT3G14120.1	Gelse_mpi.v2.2_MPIG043040.1	CRO_01G001060.1
	Gelse_mpi.v2.2_MPIG043030.1	
		
		
AT3G14100.1	Gelse_mpi.v2.2_MPIG043020.1	CRO_01G001070.3
AT1G17370.1	Gelse_mpi.v2.2_MPIG043020.1	CRO_01G001070.3
AT1G54080.2	Gelse_mpi.v2.2_MPIG043020.1	CRO_01G001070.3
		
		
		
AT3G14110.3		
		
		
	Gelse_mpi.v2.2_MPIG043010.4	CRO_01G001080.1
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG043000.2	CRO_01G001090.1
		
		
		
		
		
		
AT3G14090.1	Gelse_mpi.v2.2_MPIG042990.3	CRO_01G001110.1
AT1G54090.1	Gelse_mpi.v2.2_MPIG042990.3	CRO_01G001110.1
AT1G72470.1	Gelse_mpi.v2.2_MPIG042990.3	CRO_01G001110.1
		
AT1G17380.1		
		
		
		
		
		
		
		
		
AT1G72480.1	Gelse_mpi.v2.2_MPIG042980.2	CRO_01G001130.1
AT3G14080.1		CRO_01G001140.2
		
		
	Gelse_mpi.v2.2_MPIG042970.1	
		CRO_01G001150.1
		
AT1G17400.1	Gelse_mpi.v2.2_MPIG042960.1	CRO_01G001160.1
AT1G72490.1	Gelse_mpi.v2.2_MPIG042960.1	CRO_01G001160.1
		
		
		
AT1G54095.1		
	Gelse_mpi.v2.2_MPIG042940.1	
		
		CRO_01G001170.11
		
	Gelse_mpi.v2.2_MPIG042930.1	
		
		
		
		
		
		
		
AT3G14075.1	Gelse_mpi.v2.2_MPIG042920.1	CRO_01G001180.5
		
		
		
		
AT1G72500.1		
	Gelse_mpi.v2.2_MPIG042910.2	CRO_01G001190.1
		
		
		
		
		
		CRO_01G001200.1
		
		
		
		CRO_01G001210.1
		
		
		
		
		
AT1G72510.1	Gelse_mpi.v2.2_MPIG042900.2	CRO_01G001220.3
		
		
		
		
AT1G54100.1	Gelse_mpi.v2.2_MPIG042890.1	CRO_01G001230.2
AT1G54110.1		
		
AT3G14070.1	Gelse_mpi.v2.2_MPIG042880.4	CRO_01G001240.1
AT1G54115.1	Gelse_mpi.v2.2_MPIG042880.4	CRO_01G001240.1
AT1G17410.1	Gelse_mpi.v2.2_MPIG042950.1	
		
AT3G14067.1	Gelse_mpi.v2.2_MPIG042870.1	CRO_01G001250.1
		
	Gelse_mpi.v2.2_MPIG042860.1	
AT3G14060.1	Gelse_mpi.v2.2_MPIG042850.1	CRO_01G001270.1
AT1G54120.1	Gelse_mpi.v2.2_MPIG042850.1	CRO_01G001270.1
		
		CRO_01G001280.1
		
		
		
	Gelse_mpi.v2.2_MPIG042830.1	CRO_01G001310.1
		
AT1G17420.1	Gelse_mpi.v2.2_MPIG042840.1	CRO_01G001330.1
AT1G72520.1	Gelse_mpi.v2.2_MPIG042840.1	CRO_01G001330.1
		CRO_01G001350.1
		
AT1G72530.2		
		
		
AT1G72540.1		
	Gelse_mpi.v2.2_MPIG042700.1	CRO_01G001400.1
		CRO_01G001410.1
		
AT3G13970.1	Gelse_mpi.v2.2_MPIG042690.1	CRO_01G001420.1
AT1G54210.1	Gelse_mpi.v2.2_MPIG042690.1	CRO_01G001420.1
		
		
		
AT1G72550.1		
	Gelse_mpi.v2.2_MPIG042680.2	CRO_01G001430.1
		CRO_01G001440.1
	Gelse_mpi.v2.2_MPIG042820.1	CRO_01G001450.1
		
AT1G72560.1	Gelse_mpi.v2.2_MPIG042810.12	CRO_01G001460.9
		
		
		
		
		
		
AT3G14050.1	Gelse_mpi.v2.2_MPIG042800.1	CRO_01G001470.1
AT1G54130.1	Gelse_mpi.v2.2_MPIG042800.1	CRO_01G001470.1
		
AT1G54140.1	Gelse_mpi.v2.2_MPIG042790.1	CRO_01G001480.1
		
		
		
		
AT1G72580.1		
		CRO_01G001490.2
		
		
AT1G17430.1	Gelse_mpi.v2.2_MPIG042770.3	CRO_01G001500.1
AT1G72620.1	Gelse_mpi.v2.2_MPIG042770.3	CRO_01G001500.1
AT1G72590.1		
		
AT3G14040.1		
AT1G54150.1	Gelse_mpi.v2.2_MPIG042760.1	CRO_01G001510.4
		
AT3G13840.1	Gelse_mpi.v2.2_MPIG042750.1	CRO_01G001520.1
		
		
		
		
		
		
		
AT1G72610.1	Gelse_mpi.v2.2_MPIG042730.1	CRO_01G001530.1
AT1G17440.1	Gelse_mpi.v2.2_MPIG042670.4	
		
		
		
		
AT1G72600.1	Gelse_mpi.v2.2_MPIG042720.3	CRO_01G001540.1
		
		
		
		
AT1G72570.1	Gelse_mpi.v2.2_MPIG042710.2	CRO_01G001550.1
		
		
AT1G17450.2		
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG042660.1	
		
		
		
		
		
AT1G17455.1	Gelse_mpi.v2.2_MPIG042650.1	CRO_01G001600.1
AT1G72630.1	Gelse_mpi.v2.2_MPIG042650.1	CRO_01G001600.1
		
AT1G72640.1	Gelse_mpi.v2.2_MPIG042640.1	CRO_01G001610.3
		
		
		
AT1G72645.1		
	Gelse_mpi.v2.2_MPIG042630.1	CRO_01G001620.1
		
		
		
		
AT1G17460.2		
AT1G72650.2		
		
		
		
		
		
AT1G17470.1	Gelse_mpi.v2.2_MPIG042620.1	CRO_01G001630.1
AT1G72660.1	Gelse_mpi.v2.2_MPIG042620.1	CRO_01G001630.1
	Gelse_mpi.v2.2_MPIG042610.1	
		
		
	Gelse_mpi.v2.2_MPIG042600.1	
		
		
		
		
AT3G13980.1	Gelse_mpi.v2.2_MPIG042590.1	CRO_01G001640.1
AT1G54200.1	Gelse_mpi.v2.2_MPIG042590.1	CRO_01G001640.1
		
		
		
AT3G13990.1	Gelse_mpi.v2.2_MPIG042580.8	CRO_01G001650.1
AT3G14000.1	Gelse_mpi.v2.2_MPIG042570.4	CRO_01G001660.3
AT1G54180.1	Gelse_mpi.v2.2_MPIG042570.4	CRO_01G001660.3
		
		
		
		
	Gelse_mpi.v2.2_MPIG042560.6	CRO_01G001670.1
		
		
AT3G14010.1	Gelse_mpi.v2.2_MPIG042550.4	CRO_01G001680.1
AT1G54170.1	Gelse_mpi.v2.2_MPIG042550.4	CRO_01G001680.1
		
		
		
AT3G14020.1	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2
AT1G17590.1	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2
AT1G54160.1	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2
AT1G72830.2	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2
		
		
		
		CRO_01G001700.1
		
	Gelse_mpi.v2.2_MPIG042530.1	
		
		
AT1G72820.1	Gelse_mpi.v2.2_MPIG042520.1	CRO_01G001710.1
		
		
		
		
		
		
		
		
AT1G72810.1	Gelse_mpi.v2.2_MPIG042500.1	CRO_01G001720.1
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG042490.1	CRO_01G001740.1
AT3G13960.1		
		
AT1G54215.1		
		
		
		
	Gelse_mpi.v2.2_MPIG042480.1	CRO_01G001750.1
		
		
		
		
		
		
AT3G13950.1		
AT1G72790.1	Gelse_mpi.v2.2_MPIG042470.1	CRO_01G001760.2
AT1G54217.2	Gelse_mpi.v2.2_MPIG042460.1	CRO_01G001770.2
		
		
		
		
		
AT3G13940.1	Gelse_mpi.v2.2_MPIG042450.4	CRO_01G001780.3
		
		
		
AT1G17550.1	Gelse_mpi.v2.2_MPIG042440.1	CRO_01G001790.1
AT1G72770.1	Gelse_mpi.v2.2_MPIG042440.1	CRO_01G001790.1
		
	Gelse_mpi.v2.2_MPIG042430.1	
		
	Gelse_mpi.v2.2_MPIG042420.1	CRO_01G001800.1
		
AT1G72760.1		
		
	Gelse_mpi.v2.2_MPIG042410.1	CRO_01G001810.2
		
		
		
AT1G17530.1	Gelse_mpi.v2.2_MPIG042400.1	CRO_01G001820.1
AT1G72750.1	Gelse_mpi.v2.2_MPIG042400.1	CRO_01G001820.1
		
		
		
AT3G13930.1	Gelse_mpi.v2.2_MPIG042390.1	CRO_01G001830.1
AT1G54220.1	Gelse_mpi.v2.2_MPIG042390.1	CRO_01G001830.1
		
		CRO_01G001840.1
		
	Gelse_mpi.v2.2_MPIG042380.1	
		CRO_01G001850.1
		
AT1G17520.1		
AT1G72740.1		
		
		CRO_01G001880.2
	Gelse_mpi.v2.2_MPIG042360.1	
		
AT1G72720.1		
		
AT3G13920.2	Gelse_mpi.v2.2_MPIG042370.1	CRO_01G001890.1
AT1G54270.1	Gelse_mpi.v2.2_MPIG042370.1	CRO_01G001890.1
AT1G72730.1	Gelse_mpi.v2.2_MPIG042370.1	CRO_01G001890.1
AT3G13910.1	Gelse_mpi.v2.2_MPIG042350.1	CRO_01G001900.1
AT1G72710.1	Gelse_mpi.v2.2_MPIG042340.2	CRO_01G001910.2
		
AT3G13900.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2
AT1G17500.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2
AT1G54280.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2
AT1G72700.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2
		
		
	Gelse_mpi.v2.2_MPIG042320.1	
		
		
		
	Gelse_mpi.v2.2_MPIG042310.3	CRO_01G001930.2
		
		
		
		
AT3G13898.1	Gelse_mpi.v2.2_MPIG042300.1	CRO_01G001940.1
		
AT1G17490.1	Gelse_mpi.v2.2_MPIG042290.1	CRO_01G001950.1
AT1G72690.1	Gelse_mpi.v2.2_MPIG042290.1	CRO_01G001950.1
AT1G72680.1		
		
		
		
	Gelse_mpi.v2.2_MPIG042280.1	CRO_01G001960.1
		
AT1G17480.1	Gelse_mpi.v2.2_MPIG042270.2	CRO_01G001970.2
AT1G72670.1	Gelse_mpi.v2.2_MPIG042270.2	CRO_01G001970.2
		
		
AT3G13890.1	Gelse_mpi.v2.2_MPIG042260.1	CRO_01G001980.1
AT3G13882.2	Gelse_mpi.v2.2_MPIG042250.2	CRO_01G001990.1
		
AT1G72880.2	Gelse_mpi.v2.2_MPIG042240.1	CRO_01G002000.4
AT1G17650.1		CRO_01G002010.1
		
AT1G17640.1	Gelse_mpi.v2.2_MPIG042230.1	CRO_01G002020.1
AT1G72910.1		
		
		
		
AT3G13780.1		CRO_01G002030.1
	Gelse_mpi.v2.2_MPIG042220.8	CRO_01G002040.3
		
		
AT3G13790.1	Gelse_mpi.v2.2_MPIG042200.2	CRO_01G002050.1
AT1G55120.1	Gelse_mpi.v2.2_MPIG042200.2	CRO_01G002050.1
		
		
	Gelse_mpi.v2.2_MPIG042190.1	
		
		
		
AT3G13800.1	Gelse_mpi.v2.2_MPIG042160.2	
		
AT3G13810.2	Gelse_mpi.v2.2_MPIG042140.1	
AT1G55110.1	Gelse_mpi.v2.2_MPIG042140.1	
	Gelse_mpi.v2.2_MPIG040950.1,Gelse_mpi.v2.2_MPIG042150.1	CRO_01G002060.1
		
		
AT1G72980.1		
		
		
		
		
		
		
		
AT1G72990.1	Gelse_mpi.v2.2_MPIG042130.1	CRO_01G002070.1
		
		
AT3G13845.1		
		
		
		
AT3G13850.1	Gelse_mpi.v2.2_MPIG042120.1	CRO_01G002080.1
AT1G17630.1		
		
		
AT3G13860.1	Gelse_mpi.v2.2_MPIG042110.1	CRO_01G002090.1
		
		
	Gelse_mpi.v2.2_MPIG042100.1	
		
		
		
		
		
		
		
AT1G17620.1	Gelse_mpi.v2.2_MPIG042090.1	CRO_01G002100.1
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG042080.2	CRO_01G002110.2
		
AT1G72970.1	Gelse_mpi.v2.2_MPIG042070.3	CRO_01G002120.1
		
		
		
AT3G13870.1	Gelse_mpi.v2.2_MPIG042060.2	CRO_01G002130.3
AT1G72960.1	Gelse_mpi.v2.2_MPIG042060.2	CRO_01G002130.3
		
	Gelse_mpi.v2.2_MPIG042050.1	
		
	Gelse_mpi.v2.2_MPIG042040.4	CRO_01G002140.2
		
		
		
AT3G13772.1	Gelse_mpi.v2.2_MPIG042030.1	CRO_01G002150.1
AT1G55130.1	Gelse_mpi.v2.2_MPIG042030.1	CRO_01G002150.1
AT3G13770.1		
AT1G17665.1	Gelse_mpi.v2.2_MPIG042020.1	CRO_01G002160.1
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG042010.6	CRO_01G002170.1
		
		
		
		
		
AT3G13750.1	Gelse_mpi.v2.2_MPIG042000.2	CRO_01G002180.2
		
		
		
AT1G55150.1	Gelse_mpi.v2.2_MPIG041990.2	CRO_01G002190.1
AT1G17680.1		
		
AT3G13740.1		
		
		
AT1G55160.3	Gelse_mpi.v2.2_MPIG041980.2	CRO_01G002200.2
		
		
AT3G13730.1	Gelse_mpi.v2.2_MPIG041970.5	CRO_01G002210.1
	Gelse_mpi.v2.2_MPIG041960.3	
		
		
AT1G55170.1	Gelse_mpi.v2.2_MPIG041950.1	CRO_01G002220.10
AT1G17690.1		
		
		
	Gelse_mpi.v2.2_MPIG041940.1	
		
		
		
		
	Gelse_mpi.v2.2_MPIG041930.1	CRO_01G002230.1
		
		
	Gelse_mpi.v2.2_MPIG041920.7	CRO_01G002240.3
		
		
		
AT1G55180.1	Gelse_mpi.v2.2_MPIG041910.1	CRO_01G002250.1
		
		
		
		
		
AT1G17700.1		
		
		
AT3G13700.1	Gelse_mpi.v2.2_MPIG041890.1	CRO_01G002270.2
		
		
		
AT3G13710.1	Gelse_mpi.v2.2_MPIG041900.1	CRO_01G002260.1
AT1G55190.1	Gelse_mpi.v2.2_MPIG041900.1	CRO_01G002260.1
		
AT3G13690.1	Gelse_mpi.v2.2_MPIG041880.9	CRO_01G002280.1
		
		
		
AT3G21250.2	Gelse_mpi.v2.2_MPIG041870.5	
		
		
		
	Gelse_mpi.v2.2_MPIG041860.1	
		
		
		
	Gelse_mpi.v2.2_MPIG041850.1	
AT1G17710.1	Gelse_mpi.v2.2_MPIG041830.1	CRO_01G002290.1
AT1G73010.1	Gelse_mpi.v2.2_MPIG041830.1	CRO_01G002290.1
		
		
		
AT1G17720.1	Gelse_mpi.v2.2_MPIG041820.3	CRO_01G002300.1
AT1G51690.3	Gelse_mpi.v2.2_MPIG041820.3	CRO_01G002300.1
		
		
	Gelse_mpi.v2.2_MPIG041810.1	
		
		
		
		
	Gelse_mpi.v2.2_MPIG041800.1	
		
		
		
		
		
		
		
AT3G21270.1	Gelse_mpi.v2.2_MPIG041790.1	
AT1G51700.1	Gelse_mpi.v2.2_MPIG041790.1	
	Gelse_mpi.v2.2_MPIG041780.1	CRO_01G002310.1
		
		
		
AT3G21280.1	Gelse_mpi.v2.2_MPIG041770.1	CRO_01G002320.1
AT1G51710.1	Gelse_mpi.v2.2_MPIG041770.1	CRO_01G002320.1
		
		
		
		
AT3G21290.1	Gelse_mpi.v2.2_MPIG041760.2	CRO_01G002330.3
	Gelse_mpi.v2.2_MPIG041750.1	
		
		
		
AT1G51720.1	Gelse_mpi.v2.2_MPIG041740.1	CRO_01G002340.5
		
		
AT1G17730.1	Gelse_mpi.v2.2_MPIG041730.1	CRO_06G001390.1,CRO_01G002350.1
AT1G73030.1	Gelse_mpi.v2.2_MPIG041730.1	CRO_06G001390.1,CRO_01G002350.1
		
		
		
		
		
AT5G40470.1	Gelse_mpi.v2.1_MPIG054420.4	CRO_01G002360.1
		
		
		
		
		
		
		
AT3G27630.1	Gelse_mpi.v2.1_MPIG054410.1	CRO_01G002370.1
AT5G40460.1	Gelse_mpi.v2.1_MPIG054410.1	CRO_01G002370.1
AT5G40450.1		
		
		
		
		
