A.thaliana,G.sempervirens,C.roseus,Short_description,Curator_summary,Cell_type,Name,Organ,Sources,cluster
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,7
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,9
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,12
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,18
AT4G40050,Gelse_mpi.v2.1_MPIG038550.2,CRO_01G031480.3,Protein of unknown function (DUF3550/UPF0682),NA,Epidermis,AT4G40050,Leaf,Lee et al 2025,7
AT5G57350,Gelse_mpi.v2.8_MPIG018720.3,CRO_02G004550.1,H(+)-ATPase 3,member of Plasma membrane H+-ATPase family,Phloem,AHA3,NA,Lee et al 2025,3
AT5G57350,Gelse_mpi.v2.8_MPIG018720.3,CRO_02G004550.1,H(+)-ATPase 3,member of Plasma membrane H+-ATPase family,Phloem,AHA3,NA,Lee et al 2025,12
AT5G57350,Gelse_mpi.v2.8_MPIG018720.3,CRO_02G004550.1,H(+)-ATPase 3,member of Plasma membrane H+-ATPase family,Phloem,AHA3,NA,Lee et al 2025,17
AT5G57350,Gelse_mpi.v2.8_MPIG018720.3,CRO_02G004550.1,H(+)-ATPase 3,member of Plasma membrane H+-ATPase family,Phloem,AHA3,NA,Lee et al 2025,18
AT5G57350,Gelse_mpi.v2.8_MPIG018720.3,CRO_02G004550.1,H(+)-ATPase 3,member of Plasma membrane H+-ATPase family,Phloem,AHA3,NA,Lee et al 2025,19
AT5G57410,Gelse_mpi.v2.8_MPIG018540.1,CRO_02G004780.1,Afadin/alpha-actinin-binding protein,NA,Procambium_PP,AT5G57410,Leaf,Lee et al 2025,10
AT5G57410,Gelse_mpi.v2.8_MPIG018540.1,CRO_02G004780.1,Afadin/alpha-actinin-binding protein,NA,Procambium_PP,AT5G57410,Leaf,Lee et al 2025,11
AT4G30340,Gelse_mpi.v2.8_MPIG017800.2,CRO_02G005190.2,diacylglycerol kinase 7,encodes a diacylglycerol kinase. Applying  a specific diacylglycerol kinase inhibitor to the growth media resulted in reduced root elongation and plant growth. Gene is expressed throughout the plant but is strongest in flowers and young seedlings.,Epidermis,DGK7,Leaf,Lee et al 2025,1
AT4G30340,Gelse_mpi.v2.8_MPIG017800.2,CRO_02G005190.2,diacylglycerol kinase 7,encodes a diacylglycerol kinase. Applying  a specific diacylglycerol kinase inhibitor to the growth media resulted in reduced root elongation and plant growth. Gene is expressed throughout the plant but is strongest in flowers and young seedlings.,Epidermis,DGK7,Leaf,Lee et al 2025,7
AT4G30340,Gelse_mpi.v2.8_MPIG017800.2,CRO_02G005190.2,diacylglycerol kinase 7,encodes a diacylglycerol kinase. Applying  a specific diacylglycerol kinase inhibitor to the growth media resulted in reduced root elongation and plant growth. Gene is expressed throughout the plant but is strongest in flowers and young seedlings.,Epidermis,DGK7,Leaf,Lee et al 2025,15
AT4G30340,Gelse_mpi.v2.8_MPIG017800.2,CRO_02G005190.2,diacylglycerol kinase 7,encodes a diacylglycerol kinase. Applying  a specific diacylglycerol kinase inhibitor to the growth media resulted in reduced root elongation and plant growth. Gene is expressed throughout the plant but is strongest in flowers and young seedlings.,Epidermis,DGK7,Leaf,Lee et al 2025,19
AT5G57630,Gelse_mpi.v2.8_MPIG018040.1,CRO_02G005520.1,CBL-interacting protein kinase 21,CBL-interacting protein kinase,Epidermis,CIPK21,Leaf,Lee et al 2025,6
AT5G57630,Gelse_mpi.v2.8_MPIG018040.1,CRO_02G005520.1,CBL-interacting protein kinase 21,CBL-interacting protein kinase,Epidermis,CIPK21,Leaf,Lee et al 2025,13
AT5G57800,Gelse_mpi.v2.8_MPIG017460.1,CRO_02G006330.2,Fatty acid hydroxylase superfamily,encodes a transmembrane protein with similarity to the sterol desaturase family at the N-terminus and to the short-chain dehydrogenase/reductase family at the C-terminus. Mutant analyses indicate this protein is involved in cuticle membrane and wax biosynthesis.,Trichome,YORE-YORE 1,Leaf,Lee et al 2025,1
AT5G57800,Gelse_mpi.v2.8_MPIG017460.1,CRO_02G006330.2,Fatty acid hydroxylase superfamily,encodes a transmembrane protein with similarity to the sterol desaturase family at the N-terminus and to the short-chain dehydrogenase/reductase family at the C-terminus. Mutant analyses indicate this protein is involved in cuticle membrane and wax biosynthesis.,Trichome,YORE-YORE 1,Leaf,Lee et al 2025,7
AT5G57800,Gelse_mpi.v2.8_MPIG017460.1,CRO_02G006330.2,Fatty acid hydroxylase superfamily,encodes a transmembrane protein with similarity to the sterol desaturase family at the N-terminus and to the short-chain dehydrogenase/reductase family at the C-terminus. Mutant analyses indicate this protein is involved in cuticle membrane and wax biosynthesis.,Trichome,YORE-YORE 1,Leaf,Lee et al 2025,15
AT5G57800,Gelse_mpi.v2.8_MPIG017460.1,CRO_02G006330.2,Fatty acid hydroxylase superfamily,encodes a transmembrane protein with similarity to the sterol desaturase family at the N-terminus and to the short-chain dehydrogenase/reductase family at the C-terminus. Mutant analyses indicate this protein is involved in cuticle membrane and wax biosynthesis.,Trichome,YORE-YORE 1,Leaf,Lee et al 2025,19
AT4G30470,Gelse_mpi.v2.8_MPIG017300.2,CRO_02G006760.3,NAD(P)-binding Rossmann-fold superfamily protein,NA,Epidermis,AT4G30470,Leaf,Lee et al 2025,13
AT2G23910,Gelse_mpi.v2.8_MPIG017300.2,CRO_02G006760.3,NAD(P)-binding Rossmann-fold superfamily protein,NA,Endocarp,AT2G23910,Silique,Lee et al 2025,13
AT4G30860,Gelse_mpi.v2.8_MPIG017100.2,CRO_02G007170.1,SET domain group 4,"Encodes a member of the trxG protein family. Contains a SET domain which is known to be involved in modification of histone tails by methylation. Interacts physically with AMS, but the implications of this interaction are unknown.Overexpression results in plieotrophic developmental defects.",Mesophyll,SDG4,Leaf,Lee et al 2025,11
AT1G23080,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots, it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone, whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs, rate-limiting, specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.",Epidermis,PIN7,Leaf,Lee et al 2025,3
AT1G23080,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots, it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone, whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs, rate-limiting, specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.",Epidermis,PIN7,Leaf,Lee et al 2025,4
AT1G23080,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots, it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone, whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs, rate-limiting, specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.",Epidermis,PIN7,Leaf,Lee et al 2025,9
AT1G23080,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots, it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone, whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs, rate-limiting, specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.",Epidermis,PIN7,Leaf,Lee et al 2025,18
AT1G70940,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane.",Epidermis,PIN3,Leaf,Lee et al 2025,3
AT1G70940,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane.",Epidermis,PIN3,Leaf,Lee et al 2025,4
AT1G70940,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane.",Epidermis,PIN3,Leaf,Lee et al 2025,9
AT1G70940,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane.",Epidermis,PIN3,Leaf,Lee et al 2025,18
AT2G01420,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a putative auxin efflux carrier that is localized in developing and mature root meristems.  It is involved in the maintenance of embryonic auxin gradients.  A role for AtPIN4 in generating a sink for auxin below the quiescent center of the root meristem that is essential for auxin distribution and patterning is proposed. In the root, PIN4 is detected around the quiescent center and cells surrounding it, and localizes basally in provascular cells. PIN4 expression is upregulated in brassinosteroid-insensitive mutant (PMID 16141452).",Epidermis,PIN4,Leaf,Lee et al 2025,3
AT2G01420,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a putative auxin efflux carrier that is localized in developing and mature root meristems.  It is involved in the maintenance of embryonic auxin gradients.  A role for AtPIN4 in generating a sink for auxin below the quiescent center of the root meristem that is essential for auxin distribution and patterning is proposed. In the root, PIN4 is detected around the quiescent center and cells surrounding it, and localizes basally in provascular cells. PIN4 expression is upregulated in brassinosteroid-insensitive mutant (PMID 16141452).",Epidermis,PIN4,Leaf,Lee et al 2025,4
AT2G01420,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a putative auxin efflux carrier that is localized in developing and mature root meristems.  It is involved in the maintenance of embryonic auxin gradients.  A role for AtPIN4 in generating a sink for auxin below the quiescent center of the root meristem that is essential for auxin distribution and patterning is proposed. In the root, PIN4 is detected around the quiescent center and cells surrounding it, and localizes basally in provascular cells. PIN4 expression is upregulated in brassinosteroid-insensitive mutant (PMID 16141452).",Epidermis,PIN4,Leaf,Lee et al 2025,9
